table,column,id,vid,is_pk,is_fk,type,default,description
page_cache,id,d2iLPd0101,d2iLPd0101/001,1,,INTEGER,,
page_cache,date,d2iLPd0102,d2iLPd0102/001,,,DATE,,
page_cache,city,d2iLPd0103,d2iLPd0103/001,,,TEXT,,
page_cache,license_type,d2iLPd0104,d2iLPd0104/001,,,INTEGER,,
page_cache,report_type,d2iLPd0105,d2iLPd0105/001,,,TEXT,,
page_cache,page,d2iLPd0106,d2iLPd0106/001,,,TEXT,,
licenses,id,d2iLPd0201,d2iLPd0201/001,1,,INTEGER,,
licenses,scrape_date,d2iLPd0202,d2iLPd0202/001,,,DATE,,
licenses,licenseno,d2iLPd0203,d2iLPd0203/001,,,INTEGER,,
licenses,status,d2iLPd0204,d2iLPd0204/001,,,TEXT,,
licenses,licensetype,d2iLPd0205,d2iLPd0205/001,,,INTEGER,,
licenses,issuedate,d2iLPd0206,d2iLPd0206/001,,,DATE,,
licenses,exprdate,d2iLPd0207,d2iLPd0207/001,,,DATE,,
licenses,owner,d2iLPd0208,d2iLPd0208/001,,,TEXT,,
licenses,premisesaddress,d2iLPd0209,d2iLPd0209/001,,,TEXT,,
licenses,tract,d2iLPd020a,d2iLPd020a/001,,,TEXT,,
licenses,business,d2iLPd020b,d2iLPd020b/001,,,TEXT,,
licenses,mailaddress,d2iLPd020c,d2iLPd020c/001,,,TEXT,,
licenses,geocode,d2iLPd020d,d2iLPd020d/001,,,INTEGER,,
