table,column,is_pk,type
region,region_id,1,INTEGER
region,geoid,,TEXT
region,region,,INTEGER
region,arealand,,INTEGER
region,areawatr,,INTEGER
region,pop100,,INTEGER
region,hu100,,INTEGER
region,intptlat,,INTEGER
region,intptlon,,INTEGER
region,gcuni,,TEXT
region,lsadc,,INTEGER
region,name,,INTEGER
divisions,divisions_id,1,INTEGER
divisions,geoid,,TEXT
divisions,region,,INTEGER
divisions,division,,INTEGER
divisions,arealand,,INTEGER
divisions,areawatr,,INTEGER
divisions,pop100,,INTEGER
divisions,hu100,,INTEGER
divisions,intptlat,,INTEGER
divisions,intptlon,,INTEGER
divisions,gcuni,,TEXT
divisions,lsadc,,INTEGER
divisions,name,,INTEGER
states,states_id,1,INTEGER
states,geoid,,TEXT
states,region,,INTEGER
states,division,,INTEGER
states,state,,INTEGER
states,statece,,INTEGER
states,arealand,,INTEGER
states,areawatr,,INTEGER
states,pop100,,INTEGER
states,hu100,,INTEGER
states,intptlat,,INTEGER
states,intptlon,,INTEGER
states,gcuni,,TEXT
states,lsadc,,INTEGER
states,name,,INTEGER
counties,counties_id,1,INTEGER
counties,geoid,,TEXT
counties,region,,INTEGER
counties,division,,INTEGER
counties,state,,INTEGER
counties,statece,,INTEGER
counties,county,,INTEGER
counties,countysc,,INTEGER
counties,arealand,,INTEGER
counties,areawatr,,INTEGER
counties,pop100,,INTEGER
counties,hu100,,INTEGER
counties,intptlat,,INTEGER
counties,intptlon,,INTEGER
counties,gcuni,,TEXT
counties,lsadc,,INTEGER
counties,name,,INTEGER
cosubs,cosubs_id,1,INTEGER
cosubs,geoid,,TEXT
cosubs,region,,INTEGER
cosubs,division,,INTEGER
cosubs,state,,INTEGER
cosubs,statece,,INTEGER
cosubs,county,,INTEGER
cosubs,countysc,,INTEGER
cosubs,cousub,,INTEGER
cosubs,cousubcc,,TEXT
cosubs,cousubsc,,INTEGER
cosubs,arealand,,INTEGER
cosubs,areawatr,,INTEGER
cosubs,pop100,,INTEGER
cosubs,hu100,,INTEGER
cosubs,intptlat,,INTEGER
cosubs,intptlon,,INTEGER
cosubs,gcuni,,TEXT
cosubs,lsadc,,INTEGER
cosubs,name,,INTEGER
tracts,tracts_id,1,INTEGER
tracts,geoid,,TEXT
tracts,region,,INTEGER
tracts,division,,INTEGER
tracts,state,,INTEGER
tracts,statece,,INTEGER
tracts,county,,INTEGER
tracts,countysc,,INTEGER
tracts,tract,,INTEGER
tracts,arealand,,INTEGER
tracts,areawatr,,INTEGER
tracts,pop100,,INTEGER
tracts,hu100,,INTEGER
tracts,intptlat,,INTEGER
tracts,intptlon,,INTEGER
tracts,gcuni,,TEXT
tracts,lsadc,,TEXT
tracts,name,,INTEGER
blockgroups,blockgroups_id,1,INTEGER
blockgroups,geoid,,TEXT
blockgroups,region,,INTEGER
blockgroups,division,,INTEGER
blockgroups,state,,INTEGER
blockgroups,statece,,INTEGER
blockgroups,county,,INTEGER
blockgroups,countysc,,INTEGER
blockgroups,tract,,INTEGER
blockgroups,blkgrp,,INTEGER
blockgroups,arealand,,INTEGER
blockgroups,areawatr,,INTEGER
blockgroups,pop100,,INTEGER
blockgroups,hu100,,INTEGER
blockgroups,intptlat,,INTEGER
blockgroups,intptlon,,INTEGER
blockgroups,gcuni,,TEXT
blockgroups,lsadc,,TEXT
blockgroups,name,,INTEGER
places,places_id,1,INTEGER
places,geoid,,TEXT
places,region,,INTEGER
places,division,,INTEGER
places,state,,INTEGER
places,statece,,INTEGER
places,place,,INTEGER
places,placecc,,TEXT
places,placedc,,INTEGER
places,placesc,,INTEGER
places,exi,,TEXT
places,msacmsa,,INTEGER
places,masc,,INTEGER
places,cmsa,,INTEGER
places,macci,,TEXT
places,pmsa,,INTEGER
places,arealand,,INTEGER
places,areawatr,,INTEGER
places,pop100,,INTEGER
places,hu100,,INTEGER
places,intptlat,,INTEGER
places,intptlon,,INTEGER
places,gcuni,,TEXT
places,lsadc,,INTEGER
places,name,,INTEGER
metros,metros_id,1,INTEGER
metros,geoid,,TEXT
metros,msacmsa,,INTEGER
metros,masc,,INTEGER
metros,cmsa,,INTEGER
metros,arealand,,INTEGER
metros,areawatr,,INTEGER
metros,pop100,,INTEGER
metros,hu100,,INTEGER
metros,intptlat,,INTEGER
metros,intptlon,,INTEGER
metros,gcuni,,TEXT
metros,lsadc,,INTEGER
metros,name,,INTEGER
urbanareas,urbanareas_id,1,INTEGER
urbanareas,geoid,,TEXT
urbanareas,msacmsa,,TEXT
urbanareas,masc,,TEXT
urbanareas,cmsa,,TEXT
urbanareas,arealand,,INTEGER
urbanareas,areawatr,,INTEGER
urbanareas,pop100,,INTEGER
urbanareas,hu100,,INTEGER
urbanareas,intptlat,,INTEGER
urbanareas,intptlon,,INTEGER
urbanareas,gcuni,,TEXT
urbanareas,lsadc,,INTEGER
urbanareas,name,,INTEGER
blocks,blocks_id,1,INTEGER
blocks,geoid,,TEXT
blocks,region,,INTEGER
blocks,division,,INTEGER
blocks,state,,INTEGER
blocks,statece,,INTEGER
blocks,county,,INTEGER
blocks,countysc,,INTEGER
blocks,tract,,INTEGER
blocks,blkgrp,,INTEGER
blocks,block,,INTEGER
blocks,arealand,,INTEGER
blocks,areawatr,,INTEGER
blocks,pop100,,INTEGER
blocks,hu100,,INTEGER
blocks,intptlat,,INTEGER
blocks,intptlon,,INTEGER
blocks,gcuni,,TEXT
blocks,lsadc,,TEXT
blocks,name,,INTEGER
