"table","column","is_pk","is_fk","i1","i2","type","description"
"streetlights","streetlights_id",1,,,,"INTEGER",
"streetlights","polenum",,,,,"INTEGER",
"streetlights","sapid",,,,,"TEXT",
"streetlights","eqpid",,,,,"TEXT",
"streetlights","status",,,,,"TEXT",
"streetlights","old_wattage",,,,,"INTEGER",
"streetlights","new_wattage",,,,,"INTEGER",
"streetlights","old_type",,,,,"TEXT",
"streetlights","new_type",,,,,"TEXT",
"streetlights","lat",,,1,,"REAL",
"streetlights","lon",,,1,,"REAL",
"streetlights","neighborhood",,,,1,"TEXT",
"streetlights","neighborhood_id",,,,1,"TEXT",
