count,density,neighborhood
198,8.23905315419,Barrio Logan
9,0.0195011690167,San Pasqual
1474,5.24110535351,Rancho Penasquitos
1408,7.14258268796,Carmel Valley
702,3.64385059658,Kearny Mesa
900,7.56193642843,Linda Vista
706,14.0107742852,Mid-City:Kensington-Talmadge
405,10.9895230687,Mid-City:Normal Heights
1223,12.4578639458,Greater North Park
26,1.39757171691,Military Facilities
733,12.950424778,Balboa Park
51,1.43967659081,Reserve
3986,60.3453101426,Downtown
756,23.2793969443,Greater Golden Hill
491,2.21421154673,Black Mountain Ranch
423,6.37702843142,Carmel Mountain Ranch
11,1.90297051338,Via De La Valle
22,0.640791080028,Fairbanks Ranch Country Club
6,15.3991388247,Reserve
12,0.324414726907,Ncfua Subarea Ii
302,2.54671444391,Torrey Pines
8,3.92813694324,Reserve
1,21.7806443548,Reserve
339,5.16926678478,Torrey Highlands
231,2.00586070866,Pacific Highlands Ranch
25,0.27414421341,Del Mar Mesa
189,1.6073392572,Rancho Encantada
1024,5.60054729259,Scripps Miramar Ranch
1479,3.91327496903,University
1307,5.24678773911,La Jolla
14,0.11007174353,East Elliott
651,7.89061076072,Miramar Ranch North
367,5.28113887953,Sabre Springs
2441,6.56242021933,Clairemont Mesa
1888,4.76956433526,Navajo
1196,10.5236292269,Pacific Beach
920,4.91916520343,Mission Bay Park
237,24.730575694,Mission Beach
632,7.36954094026,College Area
1247,9.1898001617,Mid-City:Eastern Area
1551,6.74000585917,Peninsula
368,13.1703329594,Ocean Beach
1505,11.769721725,Mid-City:City Heights
1536,9.25346067208,"Encanto Neighborhoods,Southeastern"
1798,9.0031817613,Skyline-Paradise Hills
1827,14.3197088012,"Southeastern San Diego,Southeastern"
80,4.13435201948,Military Facilities
1254,5.36304762683,Otay Mesa-Nestor
1061,2.61452026082,Otay Mesa
625,7.70450622849,San Ysidro
36,0.230260252403,Tijuana River Valley
811,5.78976812543,Mission Valley
159,13.2835692617,Old Town San Diego
499,12.6183920496,Midway-Pacific Highway
1358,11.7330207509,Uptown
846,2.67984339211,Tierrasanta
1596,5.56557277151,Rancho Bernardo
2440,5.22092777864,Mira Mesa
7,0.132441109516,Los Penasquitos Canyon
271,7.47182043197,Torrey Hills
662,6.8738060622,Serra Mesa
37,0.037580540009,Military Facilities
